ano,id_municipio,PT,OUTRO
2002,5107263,556,908
2002,2702553,572,2398
2002,2702702,223,710
2002,2702801,337,2658
2002,2705408,735,651
2002,2705705,1911,3105
2002,2707800,359,960
2002,2303204,1548,1857
2002,2303709,40045,5135
2002,2303808,3635,1717
2002,2304236,1257,1087
2002,2304269,1042,481
2002,2304285,8139,1128
2002,2304350,927,758
2002,2304509,1090,989
2002,2304707,3820,3343
2002,2306553,2633,1410
2002,2308377,1070,746
2002,2311405,11081,2794
2002,2313005,1776,1083
2002,2313203,4541,1645
2002,1100288,9514,4751
2002,1101492,1601,1316
2002,2101970,585,445
2002,2102309,2723,1192
2002,2102754,1460,229
2002,2102903,1869,470
2002,2103307,12695,4322
2002,2104701,680,294
2002,2105427,2620,2364
2002,2105658,898,353
2002,2105922,744,653
2002,2106672,317,758
2002,2107456,894,562
2002,2107704,2530,1037
2002,2107902,1503,812
2002,2110658,908,72
2002,2111409,3694,1049
2002,2111532,1776,362
2002,2111904,795,708
2002,2114007,3507,2276
2002,2500205,1879,566
2002,2500734,326,543
2002,2501104,4556,3450
2002,2502607,1509,727
2002,2503308,1928,981
2002,2503605,2086,814
2002,2504009,89977,38795
2002,2505402,726,1976
2002,2512788,273,302
2002,2514008,868,718
2002,2514909,1931,1386
2002,2515906,1538,1433
2002,2516201,14223,5640
2002,2804409,3356,1764
2002,2805505,3090,2765
2002,2200053,1155,1145
2002,2200251,1660,1638
2002,2200905,1289,452
2002,2201929,672,1445
2002,2202075,472,799
