MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"07","2016","RJ","GASOLINA",3.249,3.9309435774309724,4.89
"11","2019","PR","DIESEL S10",3.19,3.6087008403361347,4.689
"12","2020","RS","GASOLINA",4.199,4.6597340241796195,5.499
"02","2016","AL","DIESEL",2.84,3.0032467532467533,3.31
"10","2017","MT","GNV",2.699,2.6990000000000003,2.699
"08","2018","TO","DIESEL S10",3.199,3.489874316939891,4.77
"07","2020","ES","DIESEL",2.74,3.195082142857143,3.69
"06","2016","PI","DIESEL S10",3.06,3.2253755656108596,3.49
"05","2016","CE","GASOLINA",3.6,3.9284902534113058,4.4
"08","2018","RS","DIESEL",3.05,3.2961633919338156,3.969
"04","2017","SP","DIESEL",2.499,2.9387810683642406,3.429
"05","2016","SP","GNV",1.699,2.083504132231405,3.0
"09","2017","RS","GNV",2.499,2.7275897435897436,3.099
"11","2020","SP","GASOLINA",3.679,4.1933603238866395,4.999
"12","2019","AP","GASOLINA",3.79,3.9838706896551725,4.25
"07","2020","GO","DIESEL S10",2.97,3.3628768406961176,4.26
"11","2020","PR","DIESEL S10",2.989,3.3788774703557314,3.79
"04","2016","RJ","DIESEL S10",2.899,3.2432908212560387,3.759
"12","2020","AP","GASOLINA",3.65,3.753107142857143,4.099
"05","2017","RO","DIESEL",2.99,3.2392214983713354,3.66
"03","2017","TO","DIESEL",2.53,3.033868421052632,3.67
"12","2019","RR","GASOLINA",4.25,4.299815384615385,4.39
"09","2018","SP","DIESEL S10",3.037,3.607237654928192,4.366
"08","2018","RR","DIESEL",3.35,3.439756097560976,3.53
"04","2016","DF","GASOLINA",3.69,3.8258382352941176,3.899
"08","2018","AP","DIESEL",3.59,3.7137714285714285,4.1
"05","2017","AM","DIESEL",2.95,3.2720398230088494,3.68
"07","2019","ES","DIESEL",3.23,3.5670964630225077,3.919
"03","2020","MT","GNV",2.699,2.799,2.899
"10","2020","SE","ETANOL",3.43,3.5643571428571432,3.699
"07","2016","AC","GASOLINA",3.92,4.153870967741936,4.51
"05","2017","AL","DIESEL",2.8,3.0629723502304147,3.53
"06","2016","AL","GNV",2.289,2.329571428571428,2.429
"12","2020","MT","DIESEL",3.533,3.8116081081081084,4.329
"10","2019","TO","GASOLINA",4.26,4.634816513761468,5.69
"12","2019","RO","GASOLINA",4.05,4.566000000000001,5.06
"12","2020","AM","GASOLINA",4.219,4.332536796536797,4.6
"07","2017","DF","GASOLINA",3.009,3.3636470588235294,3.789
"05","2017","RN","DIESEL",2.869,3.0702345679012346,3.22
"07","2017","RN","DIESEL S10",2.969,3.1385300000000003,3.499
"02","2016","RJ","DIESEL",2.499,3.0196798418972333,3.522
"06","2016","RN","GNV",2.38,2.532304347826087,2.82
"12","2020","AL","GASOLINA",4.37,4.719431372549019,5.099
"07","2017","AL","DIESEL S10",2.79,3.1246460674157306,3.76
"12","2020","RN","GASOLINA",4.399,4.81284126984127,4.899
"02","2018","GO","DIESEL",3.19,3.47352915451895,3.89
"12","2017","GO","DIESEL",3.09,3.425553892215569,3.799
"09","2016","PE","GASOLINA",3.199,3.6797465321563685,4.18
"06","2016","SE","GASOLINA",3.499,3.6274049079754604,3.928
"04","2018","GO","DIESEL S10",3.29,3.612374587458746,4.19
"08","2018","ES","GNV",2.77,2.871547619047619,3.19
"10","2017","MS","GNV",2.37,2.3912222222222224,2.399
"10","2017","MA","ETANOL",2.899,3.2728442622950817,3.6
"12","2020","MS","DIESEL",3.38,3.6460408163265305,3.949
"06","2016","AM","GNV",2.85,2.85,2.85
"07","2018","SP","DIESEL",2.935,3.2731204887752203,4.299
"07","2017","RO","DIESEL S10",2.93,3.216074074074074,3.599
"05","2017","TO","DIESEL S10",2.74,3.0376222222222227,3.98
"11","2019","SP","GASOLINA",3.649,4.202646081122293,5.799
"08","2018","RO","DIESEL",3.339,3.5706350364963506,3.8
"06","2018","TO","DIESEL",3.199,3.419349593495935,3.799
"04","2016","PI","DIESEL",3.039,3.1373035714285713,3.299
"10","2020","TO","GASOLINA",4.799,4.881105263157894,4.899
"12","2020","RO","GASOLINA",4.55,4.6319307692307685,4.799
