UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AC;XAPURI;TRICICLO;3
AC;XAPURI;UTILITARIO;13
AL;AGUA BRANCA;AUTOMOVEL;1224
AL;AGUA BRANCA;BONDE;0
AL;AGUA BRANCA;CAMINHAO;147
AL;AGUA BRANCA;CAMINHAO TRATOR;6
AL;AGUA BRANCA;CAMINHONETE;588
AL;AGUA BRANCA;CAMIONETA;43
AL;AGUA BRANCA;CHASSI PLATAF;0
AL;AGUA BRANCA;CICLOMOTOR;17
AL;AGUA BRANCA;MICRO-ONIBUS;97
AL;AGUA BRANCA;MOTOCICLETA;2675
AL;AGUA BRANCA;MOTONETA;158
AL;AGUA BRANCA;ONIBUS;28
AL;AGUA BRANCA;QUADRICICLO;0
AL;AGUA BRANCA;REBOQUE;22
AL;AGUA BRANCA;SEMI-REBOQUE;12
AL;AGUA BRANCA;SIDE-CAR;0
AL;AGUA BRANCA;OUTROS;12
AL;AGUA BRANCA;TRATOR ESTEI;0
AL;AGUA BRANCA;TRATOR RODAS;0
AL;AGUA BRANCA;TRICICLO;0
AL;AGUA BRANCA;UTILITARIO;5
AL;ANADIA;AUTOMOVEL;1196
AL;ANADIA;BONDE;0
AL;ANADIA;CAMINHAO;60
AL;ANADIA;CAMINHAO TRATOR;1
AL;ANADIA;CAMINHONETE;178
AL;ANADIA;CAMIONETA;102
AL;ANADIA;CHASSI PLATAF;0
AL;ANADIA;CICLOMOTOR;4
AL;ANADIA;MICRO-ONIBUS;35
AL;ANADIA;MOTOCICLETA;1331
AL;ANADIA;MOTONETA;208
AL;ANADIA;ONIBUS;45
AL;ANADIA;QUADRICICLO;0
AL;ANADIA;REBOQUE;61
AL;ANADIA;SEMI-REBOQUE;11
AL;ANADIA;SIDE-CAR;0
AL;ANADIA;OUTROS;11
AL;ANADIA;TRATOR ESTEI;0
AL;ANADIA;TRATOR RODAS;0
AL;ANADIA;TRICICLO;0
AL;ANADIA;UTILITARIO;15
AL;ARAPIRACA;AUTOMOVEL;39730
AL;ARAPIRACA;BONDE;0
AL;ARAPIRACA;CAMINHAO;3284
AL;ARAPIRACA;CAMINHAO TRATOR;555
AL;ARAPIRACA;CAMINHONETE;7867
AL;ARAPIRACA;CAMIONETA;2327
AL;ARAPIRACA;CHASSI PLATAF;1
AL;ARAPIRACA;CICLOMOTOR;1408
AL;ARAPIRACA;MICRO-ONIBUS;469
AL;ARAPIRACA;MOTOCICLETA;50226
AL;ARAPIRACA;MOTONETA;16592
AL;ARAPIRACA;ONIBUS;622
AL;ARAPIRACA;QUADRICICLO;0
AL;ARAPIRACA;REBOQUE;2093
AL;ARAPIRACA;SEMI-REBOQUE;1046
AL;ARAPIRACA;SIDE-CAR;10
AL;ARAPIRACA;OUTROS;409
AL;ARAPIRACA;TRATOR ESTEI;0
AL;ARAPIRACA;TRATOR RODAS;0
AL;ARAPIRACA;TRICICLO;37
AL;ARAPIRACA;UTILITARIO;1159
AL;ATALAIA;AUTOMOVEL;4185
AL;ATALAIA;BONDE;0
AL;ATALAIA;CAMINHAO;230
AL;ATALAIA;CAMINHAO TRATOR;18
AL;ATALAIA;CAMINHONETE;307
AL;ATALAIA;CAMIONETA;199
AL;ATALAIA;CHASSI PLATAF;0
AL;ATALAIA;CICLOMOTOR;92
AL;ATALAIA;MICRO-ONIBUS;48
AL;ATALAIA;MOTOCICLETA;1967
AL;ATALAIA;MOTONETA;202
AL;ATALAIA;ONIBUS;171
AL;ATALAIA;QUADRICICLO;0
AL;ATALAIA;REBOQUE;306
AL;ATALAIA;SEMI-REBOQUE;56
AL;ATALAIA;SIDE-CAR;0
AL;ATALAIA;OUTROS;155
